,Article,Question,Obj. 1,Obj. 2,Obj. 3,Obj. 4,Obj. 5,Obj. 6,Obj. 7,Obj. 8,Obj. 9,Obj. 10,Obj. 12,Obj. 13,Obj. 14,Obj. 15,Obj. 16,Sed Contra,Respondeo,Reply Obj. 1,Reply Obj. 2,Reply Obj. 3,Reply Obj. 4,Reply Obj. 5,Reply Obj. 6,Reply Obj. 7,Reply Obj. 8,Reply Obj. 9,Reply Obj. 10,Reply Obj. 11,Reply Obj. 12,Reply Obj. 13,Reply Obj. 14,Reply Obj. 15,Reply Obj. 16
405,"[I, Q. 82, Art. 2]
","Whether the Will Desires of Necessity, Whatever It Desires?
"," It would seem that the will desires all things of
 necessity, whatever it desires. For Dionysius says (Div. Nom. iv)
 that ""evil is outside the scope of the will."" Therefore the will
 tends of necessity to the good which is proposed to it.
"," Further, the object of the will is compared to the will as
 the mover to the thing movable. But the movement of the movable
 necessarily follows the mover. Therefore it seems that the will's
 object moves it of necessity.
"," Further, as the thing apprehended by sense is the object of
 the sensitive appetite, so the thing apprehended by the intellect is
 the object of the intellectual appetite, which is called the will.
 But what is apprehended by the sense moves the sensitive appetite of
 necessity: for Augustine says (Gen. ad lit. ix, 14) that ""animals
 are moved by things seen."" Therefore it seems that whatever is
 apprehended by the intellect moves the will of necessity.
",,,,,,,,,,,,,,," The will can tend to nothing except under the aspect of
 good. But because good is of many kinds, for this reason the will is
 not of necessity determined to one.
"," The mover, then, of necessity causes movement in the
 thing movable, when the power of the mover exceeds the thing movable,
 so that its entire capacity is subject to the mover. But as the
 capacity of the will regards the universal and perfect good, its
 capacity is not subjected to any individual good. And therefore it is
 not of necessity moved by it.
"," The sensitive power does not compare different things
 with each other, as reason does: but it simply apprehends some one
 thing. Therefore, according to that one thing, it moves the sensitive
 appetite in a determinate way. But the reason is a power that
 compares several things together: therefore from several things the
 intellectual appetite--that is, the will--may be moved; but not of
 necessity from one thing.
",,,,,,,,,,,,,
406,"[I, Q. 82, Art. 3]
","Whether the Will Is a Higher Power Than the Intellect?
"," It would seem that the will is a higher power than the
 intellect. For the object of the will is good and the end. But the
 end is the first and highest cause. Therefore the will is the first
 and highest power.
"," Further, in the order of natural things we observe a progress
 from imperfect things to perfect. And this also appears in the powers
 of the soul: for sense precedes the intellect, which is more noble.
 Now the act of the will, in the natural order, follows the act of the
 intellect. Therefore the will is a more noble and perfect power than
 the intellect.
"," Further, habits are proportioned to their powers, as
 perfections to what they make perfect. But the habit which perfects
 the will--namely, charity--is more noble than the habits which
 perfect the intellect: for it is written (1 Cor. 13:2): ""If I should
 know all mysteries, and if I should have all faith, and have not
 charity, I am nothing."" Therefore the will is a higher power than
 the intellect.
",,,,,,,,,,,,,,," The aspect of causality is perceived by comparing one
 thing to another, and in such a comparison the idea of good is found
 to be nobler: but truth signifies something more absolute, and
 extends to the idea of good itself: wherefore even good is something
 true. But, again, truth is something good: forasmuch as the intellect
 is a thing, and truth its end. And among other ends this is the most
 excellent: as also is the intellect among the other powers.
"," What precedes in order of generation and time is less
 perfect: for in one and in the same thing potentiality precedes act,
 and imperfection precedes perfection. But what precedes absolutely
 and in the order of nature is more perfect: for thus act precedes
 potentiality. And in this way the intellect precedes the will, as the
 motive power precedes the thing movable, and as the active precedes
 the passive; for good which is understood moves the will.
"," This reason is verified of the will as compared with
 what is above the soul. For charity is the virtue by which we love
 God.
",,,,,,,,,,,,,
407,"[I, Q. 82, Art. 4]
","Whether the Will Moves the Intellect?
"," It would seem that the will does not move the intellect.
 For what moves excels and precedes what is moved, because what moves
 is an agent, and ""the agent is nobler than the patient,"" as Augustine
 says (Gen. ad lit. xii, 16), and the Philosopher (De Anima iii, 5).
 But the intellect excels and precedes the will, as we have said above
 (A. 3). Therefore the will does not move the intellect.
"," Further, what moves is not moved by what is moved, except
 perhaps accidentally. But the intellect moves the will, because the
 good apprehended by the intellect moves without being moved; whereas
 the appetite moves and is moved. Therefore the intellect is not moved
 by the will.
"," Further, we can will nothing but what we understand. If,
 therefore, in order to understand, the will moves by willing to
 understand, that act of the will must be preceded by another act of
 the intellect, and this act of the intellect by another act of the
 will, and so on indefinitely, which is impossible. Therefore the will
 does not move the intellect.
",,,,,,,,,,,,,,," The intellect may be considered in two ways: as
 apprehensive of universal being and truth, and as a thing and a
 particular power having a determinate act. In like manner also the
 will may be considered in two ways: according to the common nature of
 its object--that is to say, as appetitive of universal good--and as
 a determinate power of the soul having a determinate act. If,
 therefore, the intellect and the will be compared with one another
 according to the universality of their respective objects, then, as
 we have said above (A. 3), the intellect is simply higher and nobler
 than the will. If, however, we take the intellect as regards the
 common nature of its object and the will as a determinate power, then
 again the intellect is higher and nobler than the will, because under
 the notion of being and truth is contained both the will itself, and
 its act, and its object. Wherefore the intellect understands the will,
 and its act, and its object, just as it understands other species of
 things, as stone or wood, which are contained in the common notion of
 being and truth. But if we consider the will as regards the common
 nature of its object, which is good, and the intellect as a thing and
 a special power; then the intellect itself, and its act, and its
 object, which is truth, each of which is some species of good, are
 contained under the common notion of good. And in this way the will is
 higher than the intellect, and can move it. From this we can easily
 understand why these powers include one another in their acts, because
 the intellect understands that the will wills, and the will wills the
 intellect to understand. In the same way good is contained in truth,
 inasmuch as it is an understood truth, and truth in good, inasmuch as
 it is a desired good.
"," The intellect moves the will in one sense, and the will
 moves the intellect in another, as we have said above.
"," There is no need to go on indefinitely, but we must
 stop at the intellect as preceding all the rest. For every movement
 of the will must be preceded by apprehension, whereas every
 apprehension is not preceded by an act of the will; but the principle
 of counselling and understanding is an intellectual principle higher
 than our intellect--namely, God--as also Aristotle says (Eth.
 Eudemic. vii, 14), and in this way he explains that there is no need
 to proceed indefinitely.
",,,,,,,,,,,,,
408,"[I, Q. 82, Art. 5]
","Whether We Should Distinguish Irascible and Concupiscible Parts in
"," It would seem that we ought to distinguish irascible and
 concupiscible parts in the superior appetite, which is the will. For
 the concupiscible power is so called from ""concupiscere"" (to desire),
 and the irascible part from ""irasci"" (to be angry). But there is a
 concupiscence which cannot belong to the sensitive appetite, but only
 to the intellectual, which is the will; as the concupiscence of
 wisdom, of which it is said (Wis. 6:21): ""The concupiscence of wisdom
 bringeth to the eternal kingdom."" There is also a certain anger which
 cannot belong to the sensitive appetite, but only to the intellectual;
 as when our anger is directed against vice. Wherefore Jerome
 commenting on Matt. 13:33 warns us ""to have the hatred of vice in the
 irascible part."" Therefore we should distinguish irascible and
 concupiscible parts of the intellectual soul as well as in the
 sensitive.
"," Further, as is commonly said, charity is in the
 concupiscible, and hope in the irascible part. But they cannot be in
 the sensitive appetite, because their objects are not sensible, but
 intellectual. Therefore we must assign an irascible and concupiscible
 power to the intellectual part.
"," Further, it is said (De Spiritu et Anima) that ""the soul
 has these powers""--namely, the irascible, concupiscible, and
 rational--""before it is united to the body."" But no power of the
 sensitive part belongs to the soul alone, but to the soul and body
 united, as we have said above (Q. 78, AA. 5, 8). Therefore the
 irascible and concupiscible powers are in the will, which is the
 intellectual appetite.
",,,,,,,,,,,,,,," Love, concupiscence, and the like can be understood in
 two ways. Sometimes they are taken as passions--arising, that is,
 with a certain commotion of the soul. And thus they are commonly
 understood, and in this sense they are only in the sensitive
 appetite. They may, however, be taken in another way, as far as they
 are simple affections without passion or commotion of the soul, and
 thus they are acts of the will. And in this sense, too, they are
 attributed to the angels and to God. But if taken in this sense, they
 do not belong to different powers, but only to one power, which is
 called the will.
"," The will itself may be said to [be] irascible, as far
 as it wills to repel evil, not from any sudden movement of a passion,
 but from a judgment of the reason. And in the same way the will may
 be said to be concupiscible on account of its desire for good. And
 thus in the irascible and concupiscible are charity and hope--that
 is, in the will as ordered to such acts. And in this way, too, we may
 understand the words quoted (De Spiritu et Anima); that the irascible
 and concupiscible powers are in the soul before it is united to the
 body (as long as we understand priority of nature, and not of time),
 although there is no need to have faith in what that book says.
 Whence the answer to the third objection is clear.
",,,,,,,,,,,,,,
409,"[I, Q. 83, Art. 1]
","Whether Man Has Free-Will?
"," It would seem that man has not free-will. For whoever
 has free-will does what he wills. But man does not what he wills; for
 it is written (Rom. 7:19): ""For the good which I will I do not, but
 the evil which I will not, that I do."" Therefore man has not
 free-will.
"," Further, whoever has free-will has in his power to will or
 not to will, to do or not to do. But this is not in man's power: for
 it is written (Rom. 9:16): ""It is not of him that willeth""--namely,
 to will--""nor of him that runneth""--namely, to run. Therefore man has
 not free-will.
"," Further, what is ""free is cause of itself,"" as the
 Philosopher says (Metaph. i, 2). Therefore what is moved by another
 is not free. But God moves the will, for it is written (Prov. 21:1):
 ""The heart of the king is in the hand of the Lord; whithersoever He
 will He shall turn it"" and (Phil. 2:13): ""It is God Who worketh in
 you both to will and to accomplish."" Therefore man has not free-will.
"," Further, whoever has free-will is master of his own actions.
 But man is not master of his own actions: for it is written (Jer.
 10:23): ""The way of a man is not his: neither is it in a man to
 walk."" Therefore man has not free-will.
"," Further, the Philosopher says (Ethic. iii, 5): ""According as
 each one is, such does the end seem to him."" But it is not in our
 power to be of one quality or another; for this comes to us from
 nature. Therefore it is natural to us to follow some particular end,
 and therefore we are not free in so doing.
",,,,,,,,,,,,," As we have said above (Q. 81, A. 3, ad 2), the
 sensitive appetite, though it obeys the reason, yet in a given case
 can resist by desiring what the reason forbids. This is therefore
 the good which man does not when he wishes--namely, ""not to desire
 against reason,"" as Augustine says.
"," Those words of the Apostle are not to be taken as
 though man does not wish or does not run of his free-will, but
 because the free-will is not sufficient thereto unless it be moved
 and helped by God.
"," Free-will is the cause of its own movement, because by
 his free-will man moves himself to act. But it does not of necessity
 belong to liberty that what is free should be the first cause of
 itself, as neither for one thing to be cause of another need it be
 the first cause. God, therefore, is the first cause, Who moves causes
 both natural and voluntary. And just as by moving natural causes He
 does not prevent their acts being natural, so by moving voluntary
 causes He does not deprive their actions of being voluntary: but
 rather is He the cause of this very thing in them; for He operates
 in each thing according to its own nature.
"," ""Man's way"" is said ""not to be his"" in the execution of
 his choice, wherein he may be impeded, whether he will or not. The
 choice itself, however, is in us, but presupposes the help of God.
"," Quality in man is of two kinds: natural and
 adventitious. Now the natural quality may be in the intellectual
 part, or in the body and its powers. From the very fact, therefore,
 that man is such by virtue of a natural quality which is in the
 intellectual part, he naturally desires his last end, which is
 happiness. Which desire, indeed, is a natural desire, and is not
 subject to free-will, as is clear from what we have said above (Q.
 82, AA. 1, 2). But on the part of the body and its powers man may be
 such by virtue of a natural quality, inasmuch as he is of such a
 temperament or disposition due to any impression whatever produced by
 corporeal causes, which cannot affect the intellectual part, since it
 is not the act of a corporeal organ. And such as a man is by virtue
 of a corporeal quality, such also does his end seem to him, because
 from such a disposition a man is inclined to choose or reject
 something. But these inclinations are subject to the judgment of
 reason, which the lower appetite obeys, as we have said (Q. 81, A.
 3). Wherefore this is in no way prejudicial to free-will.
",,,,,,,,,,,
410,"[I, Q. 83, Art. 2]
","Whether Free-Will Is a Power?
"," It would seem that free-will is not a power. For
 free-will is nothing but a free judgment. But judgment denominates an
 act, not a power. Therefore free-will is not a power.
"," Further, free-will is defined as ""the faculty of the will and
 reason."" But faculty denominates a facility of power, which is due to
 a habit. Therefore free-will is a habit. Moreover Bernard says (De
 Gratia et Lib. Arb. 1,2) that free-will is ""the soul's habit of
 disposing of itself."" Therefore it is not a power.
"," Further, no natural power is forfeited through sin. But
 free-will is forfeited through sin; for Augustine says that ""man, by
 abusing free-will, loses both it and himself."" Therefore free-will is
 not a power.
",,,,,,,,,,,,,,," It is not unusual for a power to be named from its act.
 And so from this act, which is a free judgment, is named the power
 which is the principle of this act. Otherwise, if free-will
 denominated an act, it would not always remain in man.
"," Faculty sometimes denominates a power ready for
 operation, and in this sense faculty is used in the definition of
 free-will. But Bernard takes habit, not as divided against power, but
 as signifying a certain aptitude by which a man has some sort of
 relation to an act. And this may be both by a power and by a habit:
 for by a power man is, as it were, empowered to do the action, and by
 the habit he is apt to act well or ill.
"," Man is said to have lost free-will by falling into sin,
 not as to natural liberty, which is freedom from coercion, but as
 regards freedom from fault and unhappiness. Of this we shall treat
 later in the treatise on Morals in the second part of this work
 (I-II, Q. 85, seqq.; Q. 109).
",,,,,,,,,,,,,
411,"[I, Q. 83, Art. 3]
","Whether Free-will Is an Appetitive Power?
"," It would seem that free-will is not an appetitive, but
 a cognitive power. For Damascene (De Fide Orth. ii, 27) says that
 ""free-will straightway accompanies the rational nature."" But reason
 is a cognitive power. Therefore free-will is a cognitive power.
"," Further, free-will is so called as though it were a free
 judgment. But to judge is an act of a cognitive power. Therefore
 free-will is a cognitive power.
"," Further, the principal function of free-will is to choose.
 But choice seems to belong to knowledge, because it implies a certain
 comparison of one thing to another, which belongs to the cognitive
 power. Therefore free-will is a cognitive power.
",,,,,,,,,,,,,,," The appetitive powers accompany the apprehensive, and
 in this sense Damascene says that free-will straightway accompanies
 the rational power.
"," Judgment, as it were, concludes and terminates counsel.
 Now counsel is terminated, first, by the judgment of reason;
 secondly, by the acceptation of the appetite: whence the Philosopher
 (Ethic. iii, 3) says that, ""having formed a judgment by counsel, we
 desire in accordance with that counsel."" And in this sense choice
 itself is a judgment from which free-will takes its name.
"," This comparison which is implied in the choice belongs
 to the preceding counsel, which is an act of reason. For though the
 appetite does not make comparisons, yet forasmuch as it is moved by
 the apprehensive power which does compare, it has some likeness of
 comparison by choosing one in preference to another.
",,,,,,,,,,,,,
412,"[I, Q. 83, Art. 4]
","Whether Free-will Is a Power Distinct from the Will?
"," It would seem that free-will is a power distinct from the
 will. For Damascene says (De Fide Orth. ii, 22) that thelesis is one
 thing and boulesis another. But thelesis is the will, while
 boulesis seems to be the free-will, because boulesis, according to
 him, is will as concerning an object by way of comparison between two
 things. Therefore it seems that free-will is a distinct power from the
 will.
"," Further, powers are known by their acts. But choice, which is
 the act of free-will, is distinct from the act of willing, because
 ""the act of the will regards the end, whereas choice regards the
 means to the end"" (Ethic. iii, 2). Therefore free-will is a distinct
 power from the will.
"," Further, the will is the intellectual appetite. But in the
 intellect there are two powers--the active and the passive.
 Therefore, also on the part of the intellectual appetite, there must
 be another power besides the will. And this, seemingly, can only be
 free-will. Therefore free-will is a distinct power from the will.
",,,,,,,,,,,,,,," Boulesis is distinct from thelesis on account of a
 distinction, not of powers, but of acts.
"," Choice and will--that is, the act of willing--are
 different acts: yet they belong to the same power, as also to
 understand and to reason, as we have said.
"," The intellect is compared to the will as moving the
 will. And therefore there is no need to distinguish in the will an
 active and a passive will.
",,,,,,,,,,,,,
413,"[I, Q. 84, Art. 1]
","Whether the Soul Knows Bodies Through the Intellect?
"," It would seem that the soul does not know bodies through
 the intellect. For Augustine says (Soliloq. ii, 4) that ""bodies cannot
 be understood by the intellect; nor indeed anything corporeal unless
 it can be perceived by the senses."" He says also (Gen. ad lit. xii,
 24) that intellectual vision is of those things that are in the soul
 by their essence. But such are not bodies. Therefore the soul cannot
 know bodies through the intellect.
"," Further, as sense is to the intelligible, so is the intellect
 to the sensible. But the soul can by no means, through the senses,
 understand spiritual things, which are intelligible. Therefore by no
 means can it, through the intellect, know bodies, which are sensible.
"," Further, the intellect is concerned with things that are
 necessary and unchangeable. But all bodies are mobile and changeable.
 Therefore the soul cannot know bodies through the intellect.
",,,,,,,,,,,,,,," These words of Augustine are to be understood as
 referring to the medium of intellectual knowledge, and not to its
 object. For the intellect knows bodies by understanding them, not
 indeed through bodies, nor through material and corporeal species;
 but through immaterial and intelligible species, which can be in the
 soul by their own essence.
"," As Augustine says (De Civ. Dei xxii, 29), it is not
 correct to say that as the sense knows only bodies so the intellect
 knows only spiritual things; for it follows that God and the angels
 would not know corporeal things. The reason of this diversity is that
 the lower power does not extend to those things that belong to the
 higher power; whereas the higher power operates in a more excellent
 manner those things which belong to the lower power.
"," Every movement presupposes something immovable: for
 when a change of quality occurs, the substance remains unmoved; and
 when there is a change of substantial form, matter remains unmoved.
 Moreover the various conditions of mutable things are themselves
 immovable; for instance, though Socrates be not always sitting, yet
 it is an immovable truth that whenever he does sit he remains in one
 place. For this reason there is nothing to hinder our having an
 immovable science of movable things.
",,,,,,,,,,,,,
414,"[I, Q. 84, Art. 2]
","Whether the Soul Understands Corporeal Things Through Its Essence?
"," It would seem that the soul understands corporeal things
 through its essence. For Augustine says (De Trin. x, 5) that the soul
 ""collects and lays hold of the images of bodies which are formed in
 the soul and of the soul: for in forming them it gives them something
 of its own substance."" But the soul understands bodies by images of
 bodies. Therefore the soul knows bodies through its essence, which it
 employs for the formation of such images, and from which it forms
 them.
"," Further, the Philosopher says (De Anima iii, 8) that ""the
 soul, after a fashion, is everything."" Since, therefore, like is known
 by like, it seems that the soul knows corporeal things through itself.
"," Further, the soul is superior to corporeal creatures. Now
 lower things are in higher things in a more eminent way than in
 themselves, as Dionysius says (Coel. Hier. xii). Therefore all
 corporeal creatures exist in a more excellent way in the soul than in
 themselves. Therefore the soul can know corporeal creatures through
 its essence.
",,,,,,,,,,,,,,," Augustine in that passage is speaking of an imaginary
 vision, which takes place through the image of bodies. To the
 formation of such images the soul gives part of its substance, just
 as a subject is given in order to be informed by some form. In this
 way the soul makes such images from itself; not that the soul or some
 part of the soul be turned into this or that image; but just as we
 say that a body is made into something colored because of its being
 informed with color. That this is the sense, is clear from what
 follows. For he says that the soul ""keeps something""--namely, not
 informed with such image--""which is able freely to judge of the
 species of these images"": and that this is the ""mind"" or ""intellect.""
 And he says that the part which is informed with these
 images--namely, the imagination--is ""common to us and beasts.""
"," Aristotle did not hold that the soul is actually
 composed of all things, as did the earlier philosophers; he said that
 the soul is all things, ""after a fashion,"" forasmuch as it is in
 potentiality to all--through the senses, to all things
 sensible--through the intellect, to all things intelligible.
"," Every creature has a finite and determinate essence.
 Wherefore although the essence of the higher creature has a certain
 likeness to the lower creature, forasmuch as they have something in
 common generically, yet it has not a complete likeness thereof,
 because it is determined to a certain species other than the species
 of the lower creature. But the Divine Essence is a perfect likeness
 of all, whatsoever may be found to exist in things created, being the
 universal principle of all.
",,,,,,,,,,,,,
415,"[I, Q. 84, Art. 3]
","Whether the Soul Understands All Things Through Innate Species?
"," It would seem that the soul understands all things
 through innate species. For Gregory says, in a homily for the
 Ascension (xxix in Ev.), that ""man has understanding in common with
 the angels."" But angels understand all things through innate species:
 wherefore in the book De Causis it is said that ""every intelligence
 is full of forms."" Therefore the soul also has innate species of
 things, by means of which it understands corporeal things.
"," Further, the intellectual soul is more excellent than
 corporeal primary matter. But primary matter was created by God under
 the forms to which it has potentiality. Therefore much more is the
 intellectual soul created by God under intelligible species. And so
 the soul understands corporeal things through innate species.
"," Further, no one can answer the truth except concerning what
 he knows. But even a person untaught and devoid of acquired
 knowledge, answers the truth to every question if put to him in
 orderly fashion, as we find related in the Meno (xv seqq.) of Plato,
 concerning a certain individual. Therefore we have some knowledge of
 things even before we acquire knowledge; which would not be the case
 unless we had innate species. Therefore the soul understands
 corporeal things through innate species.
",,,,,,,,,,,,,,," Man indeed has intelligence in common with the angels,
 but not in the same degree of perfection: just as the lower grades of
 bodies, which merely exist, according to Gregory (Homily on
 Ascension, xxix In Ev.), have not the same degree of perfection as
 the higher bodies. For the matter of the lower bodies is not totally
 completed by its form, but is in potentiality to forms which it has
 not: whereas the matter of heavenly bodies is totally completed by
 its form, so that it is not in potentiality to any other form, as we
 have said above (Q. 66, A. 2). In the same way the angelic intellect
 is perfected by intelligible species, in accordance with its nature;
 whereas the human intellect is in potentiality to such species.
"," Primary matter has substantial being through its form,
 consequently it had need to be created under some form: else it would
 not be in act. But when once it exists under one form it is in
 potentiality to others. On the other hand, the intellect does not
 receive substantial being through the intelligible species; and
 therefore there is no comparison.
"," If questions be put in an orderly fashion they proceed
 from universal self-evident principles to what is particular. Now by
 such a process knowledge is produced in the mind of the learner.
 Wherefore when he answers the truth to a subsequent question, this is
 not because he had knowledge previously, but because he thus learns
 for the first time. For it matters not whether the teacher proceed
 from universal principles to conclusions by questioning or by
 asserting; for in either case the mind of the listener is assured of
 what follows by that which preceded.
",,,,,,,,,,,,,
416,"[I, Q. 84, Art. 4]
","Whether the Intelligible Species Are Derived by the Soul from Certain
"," It would seem that the intelligible species are derived
 by the soul from some separate forms. For whatever is such by
 participation is caused by what is such essentially; for instance,
 that which is on fire is reduced to fire as the cause thereof. But
 the intellectual soul forasmuch as it is actually understanding,
 participates the thing understood: for, in a way, the intellect in
 act is the thing understood in act. Therefore what in itself and in
 its essence is understood in act, is the cause that the intellectual
 soul actually understands. Now that which in its essence is actually
 understood is a form existing without matter. Therefore the
 intelligible species, by which the soul understands, are caused by
 some separate forms.
"," Further, the intelligible is to the intellect, as the
 sensible is to the sense. But the sensible species which are in the
 senses, and by which we sense, are caused by the sensible object
 which exists actually outside the soul. Therefore the intelligible
 species, by which our intellect understands, are caused by some
 things actually intelligible, existing outside the soul. But these
 can be nothing else than forms separate from matter. Therefore the
 intelligible forms of our intellect are derived from some separate
 substances.
"," Further, whatever is in potentiality is reduced to act by
 something actual. If, therefore, our intellect, previously in
 potentiality, afterwards actually understands, this must needs be
 caused by some intellect which is always in act. But this is a
 separate intellect. Therefore the intelligible species, by which we
 actually understand, are caused by some separate substances.
",,,,,,,,,,,,,,," The intelligible species which are participated by our
 intellect are reduced, as to their first cause, to a first principle
 which is by its essence intelligible--namely, God. But they proceed
 from that principle by means of the sensible forms and material
 things, from which we gather knowledge, as Dionysius says (Div. Nom.
 vii).
"," Material things, as to the being which they have
 outside the soul, may be actually sensible, but not actually
 intelligible. Wherefore there is no comparison between sense and
 intellect.
"," Our passive intellect is reduced from potentiality to
 act by some being in act, that is, by the active intellect, which is
 a power of the soul, as we have said (Q. 79, A. 4); and not by a
 separate intelligence, as proximate cause, although perchance as
 remote cause.
",,,,,,,,,,,,,
417,"[I, Q. 84, Art. 5]
","Whether the Intellectual Soul Knows Material Things in the Eternal
"," It would seem that the intellectual soul does not know
 material things in the eternal types. For that in which anything is
 known must itself be known more and previously. But the intellectual
 soul of man, in the present state of life, does not know the eternal
 types: for it does not know God in Whom the eternal types exist, but
 is ""united to God as to the unknown,"" as Dionysius says (Myst.
 Theolog. i). Therefore the soul does not know all in the eternal
 types.
"," Further, it is written (Rom. 1:20) that ""the invisible things
 of God are clearly seen . . . by the things that are made."" But among
 the invisible things of God are the eternal types. Therefore the
 eternal types are known through creatures and not the converse.
"," Further, the eternal types are nothing else but ideas, for
 Augustine says (QQ. 83, qu. 46) that ""ideas are permanent types
 existing in the Divine mind."" If therefore we say that the
 intellectual soul knows all things in the eternal types, we come back
 to the opinion of Plato who said that all knowledge is derived from
 them.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,"[I, Q. 84, Art. 6]
","Whether Intellectual Knowledge Is Derived from Sensible Things?
"," It would seem that intellectual knowledge is not derived
 from sensible things. For Augustine says (QQ. 83, qu. 9) that ""we
 cannot expect to learn the fulness of truth from the senses of the
 body."" This he proves in two ways. First, because ""whatever the
 bodily senses reach, is continually being changed; and what is never
 the same cannot be perceived."" Secondly, because, ""whatever we
 perceive by the body, even when not present to the senses, may be
 present to the imagination, as when we are asleep or angry: yet we
 cannot discern by the senses, whether what we perceive be the
 sensible object or the deceptive image thereof. Now nothing can be
 perceived which cannot be distinguished from its counterfeit."" And so
 he concludes that we cannot expect to learn the truth from the
 senses. But intellectual knowledge apprehends the truth. Therefore
 intellectual knowledge cannot be conveyed by the senses.
"," Further, Augustine says (Gen. ad lit. xii, 16): ""We must not
 think that the body can make any impression on the spirit, as though
 the spirit were to supply the place of matter in regard to the body's
 action; for that which acts is in every way more excellent than that
 which it acts on."" Whence he concludes that ""the body does not cause
 its image in the spirit, but the spirit causes it in itself.""
 Therefore intellectual knowledge is not derived from sensible things.
"," Further, an effect does not surpass the power of its cause.
 But intellectual knowledge extends beyond sensible things: for we
 understand some things which cannot be perceived by the senses.
 Therefore intellectual knowledge is not derived from sensible things.
",,,,,,,,,,,,,,," Those words of Augustine mean that we must not expect
 the entire truth from the senses. For the light of the active
 intellect is needed, through which we achieve the unchangeable truth
 of changeable things, and discern things themselves from their
 likeness.
"," In this passage Augustine speaks not of intellectual
 but of imaginary knowledge. And since, according to the opinion of
 Plato, the imagination has an operation which belongs to the soul
 only, Augustine, in order to show that corporeal images are impressed
 on the imagination, not by bodies but by the soul, uses the same
 argument as Aristotle does in proving that the active intellect must
 be separate, namely, because ""the agent is more noble than the
 patient."" And without doubt, according to the above opinion, in the
 imagination there must needs be not only a passive but also an active
 power. But if we hold, according to the opinion of Aristotle, that
 the action of the imagination is an action of the ""composite,"" there
 is no difficulty; because the sensible body is more noble than the
 organ of the animal, in so far as it is compared to it as a being in
 act to a being in potentiality; even as the object actually colored
 is compared to the pupil which is potentially colored. It may,
 however, be said, although the first impression of the imagination is
 through the agency of the sensible, since ""fancy is movement produced
 in accordance with sensation"" (De Anima iii, 3), that nevertheless
 there is in man an operation which by synthesis and analysis forms
 images of various things, even of things not perceived by the senses.
 And Augustine's words may be taken in this sense.
"," Sensitive knowledge is not the entire cause of
 intellectual knowledge. And therefore it is not strange that
 intellectual knowledge should extend further than sensitive knowledge.
",,,,,,,,,,,,,
419,"[I, Q. 84, Art. 7]
","Whether the Intellect Can Actually Understand Through the
"," It would seem that the intellect can actually understand
 through the intelligible species of which it is possessed, without
 turning to the phantasms. For the intellect is made actual by the
 intelligible species by which it is informed. But if the intellect is
 in act, it understands. Therefore the intelligible species suffices
 for the intellect to understand actually, without turning to the
 phantasms.
"," Further, the imagination is more dependent on the senses
 than the intellect on the imagination. But the imagination can
 actually imagine in the absence of the sensible. Therefore much more
 can the intellect understand without turning to the phantasms.
"," There are no phantasms of incorporeal things: for the
 imagination does not transcend time and space. If, therefore, our
 intellect cannot understand anything actually without turning to the
 phantasms, it follows that it cannot understand anything incorporeal.
 Which is clearly false: for we understand truth, and God, and the
 angels.
",,,,,,,,,,,,,,," The species preserved in the passive intellect exist
 there habitually when it does not understand them actually, as we
 have said above (Q. 79, A. 6). Wherefore for us to understand
 actually, the fact that the species are preserved does not suffice;
 we need further to make use of them in a manner befitting the things
 of which they are the species, which things are natures existing in
 individuals.
"," Even the phantasm is the likeness of an individual
 thing; wherefore the imagination does not need any further likeness
 of the individual, whereas the intellect does.
"," Incorporeal things, of which there are no phantasms,
 are known to us by comparison with sensible bodies of which there are
 phantasms. Thus we understand truth by considering a thing of which
 we possess the truth; and God, as Dionysius says (Div. Nom. i), we
 know as cause, by way of excess and by way of remotion. Other
 incorporeal substances we know, in the present state of life, only by
 way of remotion or by some comparison to corporeal things. And,
 therefore, when we understand something about these things, we need
 to turn to phantasms of bodies, although there are no phantasms of
 the things themselves.
",,,,,,,,,,,,,
